电影名,链接,上映时间,类型,时长,评分,语言,导演,作者,slogan,简介
超凡蜘蛛侠,https://www.themoviedb.org/movie/1930-the-amazing-spider-man,2012-06-29,"动作,冒险,科幻",136,67,英语,马克·韦伯,,不为人知的故事开始了,童年的一起突发事件，令彼得·帕克和父母生离死别。转眼彼得成为一名高中生，他偶然发现父亲的公文包，并从叔父本处得到线索，于是启程前往奥斯库公司拜访父亲当年的合作伙伴——科特·康纳斯博士。在公司内四处寻找线索的彼得意外被蜘蛛咬了一口，回程途中他的身体发生奇异的变化。在康纳斯博士德引导下，彼得不断了解并发掘体内着超乎寻常的能力，喜怒哀乐，各种意想不到的事情迅速向他袭来。直到某日，他便成了影响深远的超级战士蜘蛛侠。而城市内也出现了凶恶的蜥蜴人，彼得不平凡的人生就此展开。
深水,https://www.themoviedb.org/movie/1127384-deep-water,2026-05-01,"恐怖,惊悚",107,72,英语,雷尼·哈林,,Surviving the crash is just the beginning.,一架从洛杉矶飞往上海的国际航班，在飞越太平洋时遭遇货舱锂电池起火事故，安全系统接连失效，机长理查德与副机长本被迫驾驶飞机紧急迫降在海域。机上三十余名幸存者被困在破损的飞机残骸上，很快发现这片海域已是鲨鱼的猎场。成群的灰鲭鲨被残骸的血腥味吸引，不断发起攻击。幸存者们来自不同国家、背景各异，必须放下隔阂与猜忌，利用有限的资源搭建防御、寻找逃生机会，在茫茫大海中与饥饿的鲨群展开殊死对抗。
超凡蜘蛛侠2,https://www.themoviedb.org/movie/102382-the-amazing-spider-man-2,2014-05-01,"动作,冒险,科幻",141,66,英语,马克·韦伯,,一触即发,能力越大，责任越大。蜘蛛侠彼得·帕克在全力和犯罪、灾难做斗争的同时，终于迎来了毕业的时刻。可是曾经的一段心结，让他和女友格温·斯黛西的关系降至冰点。格温应聘于为全城提供电力的奥斯本集团公司，同一期间发生的两件事，不由得左右这家公司和彼得等人的命运。奥斯本的掌门人病故，他的儿子哈利以20岁的年龄接受这家市值2000亿美元的巨无霸公司。另一方面，极度崇拜蜘蛛侠的电力工程师麦克斯在维修机组时意外身亡，当他再度醒来时发现自己变成了全身充满电能的超人类。感到受了欺骗的麦克斯与蜘蛛侠在时代广场展开对决，而彼得和哈利的友情也将遭到命运的戏弄。
阿凡达：火与烬,https://www.themoviedb.org/movie/83533-avatar-fire-and-ash,2025-12-18,"科幻,冒险,奇幻",197,76,英语,詹姆斯·卡梅隆,,传奇导演詹姆斯·卡梅隆全新史诗续章。,从人类归化纳美族并当上首领的杰克·萨利、妻子纳美战士奈蒂莉及萨利的家人一同在经历奋战与伤痛后开始在岛礁群生活，但他们仍未走出纳特亚姆去世的阴影。为保护蜘蛛，他们随风之商人部族踏上返乡之旅，却途中遭到由瓦琅率领的灰烬族袭击。与此同时，人类军方正在筹备新的进攻。
真人快打2,https://www.themoviedb.org/movie/931285-mortal-kombat-ii,2026-05-07,"动作,奇幻,冒险",116,79,英语,西蒙·麦奎德,杰瑞米·斯莱特,致命终局战，热血鉴真章,过气好莱坞演员强尼·凯奇（卡尔·厄本 饰）被意外选中，加入一场决定地球命运的真人快打。吉塔娜（阿德莱恩·鲁道夫 饰）、刀锋索尼娅（杰西卡·麦克娜美 饰）、卡诺（约什·劳森 饰）、刘康（林路迪 饰）、贾克斯（麦卡德·布鲁克斯 饰）、尚宗（黄经汉 饰）、雷电（浅野忠信 饰）、避寒（乔·塔斯利姆 饰）、蝎子（真田广之 饰）等角色也将各显身手，开启血浆狂飙的格斗厮杀。
72小时,https://www.themoviedb.org/movie/949838-72-hours,2026-07-24,"喜剧,犯罪",105,68,英语,蒂姆·斯道瑞,"海登·施拉兹伯格,Kevin Burrows,Matt Mider,乔恩·赫维兹",The night is young. He isn't.,一名 40 岁的广告高管被误加到 20 岁左右年轻人的群聊中。为了拯救事业，他与这群人一起参加了一场迈阿密疯狂单身派对。
超级马力欧银河大电影,https://www.themoviedb.org/movie/1226863-the-super-mario-galaxy-movie,2026-04-01,"家庭,喜剧,冒险,奇幻,动画",98,83,英语,"亚伦·霍瓦特,迈克尔·杰勒尼克",,星系在召唤。,重返奇妙世界，探索浩瀚宇宙，罗莎塔公主、酷霸Jr.、耀西等更多惊喜角色登场，开拓更宏大酷炫的版图，呈现更精彩纷呈的冒险。
复仇者联盟3：无限战争,https://www.themoviedb.org/movie/299536-avengers-infinity-war,2018-04-26,"冒险,动作,科幻",156,82,英语,"乔·罗素,安东尼·罗素",,十年布局 巅峰一役,随着复仇者联盟及其盟友继续保护世界免受来自任何单一英雄难以承担的威胁，一个新的危险从宇宙的阴影中浮现——灭霸。作为一个星际恶名昭彰的暴君，他的目标是收集所有六颗无限宝石，这些宝石拥有难以想象的力量，并利用它们将扭曲的意志强加于现实的每一个角落。复仇者们为此奋斗的一切都指向了这一刻——地球和整个存在的命运从未如此不确定。
不朽战斗,https://www.themoviedb.org/movie/1656061-immortal-combat,2026-04-24,"动作,科幻,冒险",88,48,英语,Monroe Robertson,,The World's Greatest Warriors...Fight To The Death,历史上最伟大的战士必须在一场生死决斗中战斗。他们在绑架者不知情的情况下，密谋彻底摧毁企业号。
思萍,https://www.themoviedb.org/movie/1728704-siping,2026-07-10,剧情,70,28,塔加洛语,Christopher Novabos,Christopher Novabos,,一则扣人心弦的故事：一名女子被押上赌桌，成为高额牌局的赌注。而当长久痴恋她的男人赢下这场赌局，博弈的代价变得愈发焦灼汹涌。
惩罚者：最后一击,https://www.themoviedb.org/movie/1439930-the-punisher-one-last-kill,2026-05-13,"动作,剧情,犯罪",51,83,英语,雷纳尔多·马库斯·格林,"雷纳尔多·马库斯·格林,乔·博恩瑟",Hey Frank.,弗兰克·卡斯特想在复仇之外，追求更有意义的目标，但他却意外地被拉回战场。
肖申克的救赎,https://www.themoviedb.org/movie/278-the-shawshank-redemption,2003-09-01,"剧情,犯罪",142,87,英语,弗兰克·德拉邦特,,恐惧会将你囚禁，希望则能让你获得自由。,安迪·杜佛兰被错判谋杀妻子及其情人，在缅因州肖申克服刑，判处两项无期徒刑接连执行。影片背景设定于1940年代，展现安迪如何在残酷的监狱环境中艰难求生，甚至赢得狱友们的敬重——尤其是与老囚徒“瑞德”·雷丁之间深厚的友谊。
